V_avg	CT_avg	xt_mean	xt_std	xb_mean	xb_std
4.000001	0.923000	0.203991	0.137887	0.134031	0.091829
4.999999	0.919000	0.317428	0.227688	0.208565	0.151645
5.999999	0.904000	0.449674	0.338860	0.295456	0.225702
7.000000	0.858000	0.580912	0.456519	0.381686	0.304086
8.000000	0.814000	0.719798	0.586847	0.472941	0.390914
9.000001	0.814000	0.910924	0.767235	0.598519	0.511094
10.000000	0.814000	1.124489	0.975293	0.738841	0.649714
10.999999	0.814000	1.360484	1.211703	0.893901	0.807228
11.999999	0.577000	1.147551	1.047054	0.753994	0.697558
12.999999	0.419000	0.977873	0.912364	0.642508	0.607840
13.999998	0.323000	0.874154	0.832541	0.574360	0.554672
15.000001	0.259000	0.804560	0.781136	0.528634	0.520434
16.000001	0.211000	0.745669	0.737020	0.489939	0.491050
17.000002	0.175000	0.698083	0.701717	0.458674	0.467536
18.000001	0.148000	0.661801	0.675863	0.434834	0.450317
18.999999	0.126000	0.627693	0.650607	0.412424	0.433496
20.000003	0.109000	0.601598	0.632430	0.395278	0.421390
20.999999	0.095000	0.578008	0.615837	0.379779	0.410339
22.000001	0.084000	0.560851	0.605247	0.368506	0.403287
23.000001	0.074000	0.539963	0.589755	0.354781	0.392968
23.999999	0.066000	0.524321	0.579332	0.344504	0.386027
25.000000	0.059000	0.508533	0.568118	0.334130	0.378558
