Time(s)	xt(m)	vt(m/s)	xb(m)	vb(m/s)
0.000000	0.000000	0.000000	0.000000	0.000000
0.010000	0.000136	0.027238	0.000000	0.000078
0.020000	0.000545	0.054554	0.000003	0.000457
0.030000	0.001227	0.081938	0.000011	0.001348
0.040000	0.002184	0.109377	0.000032	0.002958
0.050000	0.003415	0.136858	0.000073	0.005481
0.060000	0.004921	0.164368	0.000145	0.009104
0.070000	0.006703	0.191900	0.000260	0.013997
0.080000	0.008759	0.219450	0.000430	0.020315
0.090000	0.011092	0.247018	0.000671	0.028194
0.100000	0.013700	0.274616	0.000999	0.037754
0.110000	0.016584	0.302258	0.001432	0.049091
0.120000	0.019745	0.329954	0.001987	0.062280
0.130000	0.023183	0.357713	0.002684	0.077375
0.140000	0.026900	0.385537	0.003541	0.094407
0.150000	0.030894	0.413417	0.004579	0.113382
0.160000	0.035168	0.441332	0.005815	0.134286
0.170000	0.039721	0.469247	0.007271	0.157078
0.180000	0.044553	0.497108	0.008963	0.181698
0.190000	0.049663	0.524853	0.010910	0.208060
0.200000	0.055049	0.552411	0.013130	0.236058
0.210000	0.060710	0.579715	0.015637	0.265566
0.220000	0.066642	0.606702	0.018446	0.296434
0.230000	0.072843	0.633321	0.021569	0.328498
0.240000	0.079308	0.659538	0.025019	0.361575
0.250000	0.086032	0.685349	0.028804	0.395465
0.260000	0.093013	0.710776	0.032930	0.429961
0.270000	0.100247	0.735855	0.037404	0.464842
0.280000	0.107729	0.760659	0.042228	0.499882
0.290000	0.115459	0.785274	0.047401	0.534853
0.300000	0.123435	0.809789	0.052924	0.569527
0.310000	0.131655	0.834327	0.058790	0.603679
0.320000	0.140121	0.858988	0.064995	0.637093
0.330000	0.148835	0.883857	0.071529	0.669565
0.340000	0.157800	0.909026	0.078382	0.700903
0.350000	0.167017	0.934558	0.085543	0.730933
0.360000	0.176492	0.960484	0.092996	0.759502
0.370000	0.186228	0.986822	0.100727	0.786477
0.380000	0.196230	1.013566	0.108720	0.811747
0.390000	0.206501	1.040678	0.116956	0.835228
0.400000	0.217045	1.068111	0.125418	0.856860
0.410000	0.227864	1.095807	0.134087	0.876607
0.420000	0.238961	1.123700	0.142944	0.894460
0.430000	0.250338	1.151712	0.151970	0.910431
0.440000	0.261996	1.179762	0.161147	0.924559
0.450000	0.273933	1.207772	0.170455	0.936903
0.460000	0.286151	1.235660	0.179879	0.947543
0.470000	0.298646	1.263353	0.189401	0.956581
0.480000	0.311417	1.290771	0.199006	0.964131
0.490000	0.324460	1.317830	0.208679	0.970327
0.500000	0.337772	1.344446	0.218408	0.975313
0.510000	0.351347	1.370540	0.228182	0.979245
0.520000	0.365181	1.396027	0.237990	0.982285
0.530000	0.379266	1.420828	0.247825	0.984601
0.540000	0.393595	1.444878	0.257680	0.986363
